Office_Record_No,Office_name,Address_1,Address_2,City,State,Zip_Code,Phone_number_2,Office_contact,HandicapAccess,Fax_number2
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
173,"Reading Pediatrics, Inc",40 Berkshire Court,Suite 1,Wyomissing,PA,19610,,Dr. Johanna Kelly,FALSE,
174,"John F Perry MD 
Orthopedic Surgery and Sports Medicine",25 South Pine Street,PO Box 210,Elverson,PA,19520,(772)618-3464,Christine Derry,FALSE,
176,Wernersville Family Health Center,260 East Washington Street,,Wernersville,PA,19565,,,FALSE,
178,"Podiatry Associates Group, LTD",2603 Keiser Blvd,Suite 201,Wyomissing,PA,19610,,,FALSE,
189,Springfield Psychological Associates,2909 Windmill Road,Suite 5,Sinking Spring,PA,19608,,John Ho MD,FALSE,
198,Chesen Laser Eye Center,301 Penn Avenue,Suite 100,West Reading,PA,19611,,Temma (610-372-8056),FALSE,
201,Surgery Consultants of Berks County,301 S 7th Avenue,,West Reading,PA,19611,(610)374-7720,,FALSE,
215,Office of Joseph Strangarity,320 School Road,,Denver,PA,17517,,,FALSE,
238,The Spine and Wellness Center,3933 Perkiomen Avenue,,Reading,PA,19606,,,FALSE,
241,LaManna-Dooley Plastic Surgery Associates,40 Kenhorst Blvd,,Reading,PA,19607,,,FALSE,
270,Penn Family Medicine,4885 DeMoss Road,Suite 100,Reading,PA,19606,,,FALSE,
270,Penn Family Medicine,4885 DeMoss Road,Suite 100,Reading,PA,19606,,,FALSE,
271,Family Medicine - Tower Health Medical Group,4885 DeMoss Road,Suite 201,Reading,PA,19606,(610)779-9489,Cindy Barnett,FALSE,
271,Family Medicine - Tower Health Medical Group,4885 DeMoss Road,Suite 201,Reading,PA,19606,(610)779-9489,Cindy Barnett,FALSE,
315,"Mark G Dougherty, DMD",645 Penn Avenue,,West Reading,PA,19611-1003,,,FALSE,
324,Michael S Drohosky DPM PC,703 Pothouse Road,,Phoenixville,PA,19460-4746,,,FALSE,
455,Reading Hospital,Trauma,420 South 5th Avenue,West Reading,PA,19611,,Pauline Keys,FALSE,
464,Reading Hospital,Reading Hospital Cancer Center,PO Box 16052,Reading,PA,19612-6052,,Sharon Gaspari,FALSE,
520,"All About Children Pediatric Partners, PC",655 Walnut Street,,West Reading,PA,19611,,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
520,"All About Children Pediatric Partners, PC",655 Walnut Street,,West Reading,PA,19611,,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
520,"All About Children Pediatric Partners, PC",655 Walnut Street,,West Reading,PA,19611,,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
520,"All About Children Pediatric Partners, PC",655 Walnut Street,,West Reading,PA,19611,,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
520,"All About Children Pediatric Partners, PC",655 Walnut Street,,West Reading,PA,19611,,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
520,"All About Children Pediatric Partners, PC",655 Walnut Street,,West Reading,PA,19611,,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
536,"All About Children Pediatric Partners, PC",PO Box 6946,,Wyomissing,PA,19610-6946,(610)463-8775,Ellen Bryan (ext 938); ebryan@aacpp.com,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
554,All About Women Wyomissing - Tower Health Medical Group,1040 Reed Avenue,Suite 4,Wyomissing,PA,19610,(610)898-7560,Terri Rutherford,FALSE,
556,Allergy & Ashma Center of Wyomissing,1150 Berkshire Blvd,Suite 170,Wyomissing,PA,19610,,,FALSE,
558,Allergy & Asthma Medical Center,130 Prospect Street,Suite 1,Reading,PA,19606-2866,,Harriett,FALSE,
565,Alvernia University,400 Saint Bernardine Street,Health & Wellness Center,Reading,PA,19607,,,FALSE,
581,"Arthritis & Osteoporosis Center, Inc",2760 Century Blvd,Suite 3,Wyomissing,PA,19610,,Kevin McCullough,FALSE,
581,"Arthritis & Osteoporosis Center, Inc",2760 Century Blvd,Suite 3,Wyomissing,PA,19610,,Kevin McCullough,FALSE,
581,"Arthritis & Osteoporosis Center, Inc",2760 Century Blvd,Suite 3,Wyomissing,PA,19610,,Kevin McCullough,FALSE,
581,"Arthritis & Osteoporosis Center, Inc",2760 Century Blvd,Suite 3,Wyomissing,PA,19610,,Kevin McCullough,FALSE,
581,"Arthritis & Osteoporosis Center, Inc",2760 Century Blvd,Suite 3,Wyomissing,PA,19610,,Kevin McCullough,FALSE,
598,"Barrer & White Orthodontists, Ltd",311 Penn Avenue,,West Reading,PA,19611-1128,,,FALSE,
598,"Barrer & White Orthodontists, Ltd",311 Penn Avenue,,West Reading,PA,19611-1128,,,FALSE,
624,Berks Colorectal Surgical Associates,301 S 7th Avenue,Suite 100,West Reading,PA,19611-1451,,,FALSE,
624,Berks Colorectal Surgical Associates,301 S 7th Avenue,Suite 100,West Reading,PA,19611-1451,,,FALSE,
627,Berks Community Health Center,838 Penn Street,,Reading,PA,19601,,Sonia Orozco,FALSE,
627,Berks Community Health Center,838 Penn Street,,Reading,PA,19601,,Sonia Orozco,FALSE,
627,Berks Community Health Center,838 Penn Street,,Reading,PA,19601,,Sonia Orozco,FALSE,
627,Berks Community Health Center,838 Penn Street,,Reading,PA,19601,,Sonia Orozco,FALSE,
627,Berks Community Health Center,838 Penn Street,,Reading,PA,19601,,Sonia Orozco,FALSE,
638,"Berks Endocrinology, LLC",1030 Reed Avenue,Suite 116,Wyomissing,PA,19610-1799,,,FALSE,
645,"Berks ENT Surgical Associates, Inc",1 Granite Point Drive,Suite 300,Wyomissing,PA,19610,,,FALSE,
645,"Berks ENT Surgical Associates, Inc",1 Granite Point Drive,Suite 300,Wyomissing,PA,19610,,,FALSE,
645,"Berks ENT Surgical Associates, Inc",1 Granite Point Drive,Suite 300,Wyomissing,PA,19610,,,FALSE,
645,"Berks ENT Surgical Associates, Inc",1 Granite Point Drive,Suite 300,Wyomissing,PA,19610,,,FALSE,
645,"Berks ENT Surgical Associates, Inc",1 Granite Point Drive,Suite 300,Wyomissing,PA,19610,,,FALSE,
657,Berks Eye Physicians & Surgeons,1802 Papermill Road,,Wyomissing,PA,19610,,,FALSE,
657,Berks Eye Physicians & Surgeons,1802 Papermill Road,,Wyomissing,PA,19610,,,FALSE,
657,Berks Eye Physicians & Surgeons,1802 Papermill Road,,Wyomissing,PA,19610,,,FALSE,
659,Family Medicine - Tower Health Medical Group,11 Ingot Drive,,Blandon,PA,19510,(610)944-8818,Chris Eshbach,FALSE,
687,Berks Foot & Ankle Surgical Associates,260 State Street,Suite 2,Hamburg,PA,19526,,,FALSE,
689,Berks Foot & Ankle Surgical Associates,654 Philadelphia Avenue,,Shillington,PA,19607,,Terri Snyder,FALSE,
689,Berks Foot & Ankle Surgical Associates,654 Philadelphia Avenue,,Shillington,PA,19607,,Terri Snyder,FALSE,
689,Berks Foot & Ankle Surgical Associates,654 Philadelphia Avenue,,Shillington,PA,19607,,Terri Snyder,FALSE,
689,Berks Foot & Ankle Surgical Associates,654 Philadelphia Avenue,,Shillington,PA,19607,,Terri Snyder,FALSE,
689,Berks Foot & Ankle Surgical Associates,654 Philadelphia Avenue,,Shillington,PA,19607,,Terri Snyder,FALSE,
689,Berks Foot & Ankle Surgical Associates,654 Philadelphia Avenue,,Shillington,PA,19607,,Terri Snyder,FALSE,
700,"Berks Foot Specialists, PC",4885 DeMoss Road,Suite 103,Reading,PA,19606,,Cheryl Long,FALSE,
700,"Berks Foot Specialists, PC",4885 DeMoss Road,Suite 103,Reading,PA,19606,,Cheryl Long,FALSE,
722,Berks Kids Dentistry,1001 James Drive,Suite A-10,Leesport,PA,19533,,,FALSE,
722,Berks Kids Dentistry,1001 James Drive,Suite A-10,Leesport,PA,19533,,,FALSE,
730,Berks Oral Surgery,1075 Berkshire Blvd,Suite 800,Wyomissing,PA,19610,,Mike Hale,FALSE,
730,Berks Oral Surgery,1075 Berkshire Blvd,Suite 800,Wyomissing,PA,19610,,Mike Hale,FALSE,
730,Berks Oral Surgery,1075 Berkshire Blvd,Suite 800,Wyomissing,PA,19610,,Mike Hale,FALSE,
730,Berks Oral Surgery,1075 Berkshire Blvd,Suite 800,Wyomissing,PA,19610,,Mike Hale,FALSE,
730,Berks Oral Surgery,1075 Berkshire Blvd,Suite 800,Wyomissing,PA,19610,,Mike Hale,FALSE,
730,Berks Oral Surgery,1075 Berkshire Blvd,Suite 800,Wyomissing,PA,19610,,Mike Hale,FALSE,
733,"Berks Pediatrics, Ltd",555 Raymond Street,,Reading,PA,19605,,,FALSE,
814,Family Medicine - Tower Health Medical Group,146 South Reading Avenue,Suite 101,Boyertown,PA,19512,(610)898-5460,Lindsey Prendergast,FALSE,
822,Boyertown Family Medicine,9 Rowell Road,,Boyertown,PA,19512-8933,,,FALSE,
833,Campanella & Pearah Eye Care Associates,3855 Penn Avenue,,Sinking Spring,PA,19608,,Ellen To (eto@cameyecare.com),FALSE,
833,Campanella & Pearah Eye Care Associates,3855 Penn Avenue,,Sinking Spring,PA,19608,,Ellen To (eto@cameyecare.com),FALSE,
833,Campanella & Pearah Eye Care Associates,3855 Penn Avenue,,Sinking Spring,PA,19608,,Ellen To (eto@cameyecare.com),FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
837,Cardiology - Tower Health Medical Group,301 S 7th Avenue,Suite 2020,West Reading,PA,19611,(610)375-6565,Nicole Kocher Muncacin,FALSE,
863,"Carim Eye & Retina Center, Ltd",2630 Westview Drive,,Wyomissing,PA,19610,,Patricia Hause,FALSE,
863,"Carim Eye & Retina Center, Ltd",2630 Westview Drive,,Wyomissing,PA,19610,,Patricia Hause,FALSE,
863,"Carim Eye & Retina Center, Ltd",2630 Westview Drive,,Wyomissing,PA,19610,,Patricia Hause,FALSE,
863,"Carim Eye & Retina Center, Ltd",2630 Westview Drive,,Wyomissing,PA,19610,,Patricia Hause,FALSE,
869,Caron Foundation,PO Box 150,,Wernersville,PA,19565-0150,,,FALSE,
872,Caron Treatment Center,243 Galen Hall Road North,PO Box 150,Wernersville,PA,19565,,,FALSE,
874,Caron Treatment Center,243 North Galen Hall Road,,Wernersville,PA,19565,,,FALSE,
912,Center for Pain Control,1235 Penn Avenue,Suite 302,Wyomissing,PA,19610,,Peter Graf,FALSE,
919,Center for Pelvic Health and Urogynecology - Tower Health Medical Group,301 South Seventh Avenue,Suite 1020,West Reading,PA,1611-1473,(484)628-8408,Kimberly Pryor,FALSE,
919,Center for Pelvic Health and Urogynecology - Tower Health Medical Group,301 South Seventh Avenue,Suite 1020,West Reading,PA,1611-1473,(484)628-8408,Kimberly Pryor,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
921,Center for Urologic Care,1320 Broadcasting Road,Suite 200,Wyomissing,PA,19610,,Chuck Buzack,FALSE,
949,Children's Health Center,206 South 6th Avenue,,West Reading,PA,19611,(610)988-5437,,FALSE,
961,Children's Clinic of Wyomissing,2240 Ridgewood Road,Suite 100,Wyomissing,PA,19610,,Joanna Weaver (Weaverj@ccwyo.com,FALSE,
961,Children's Clinic of Wyomissing,2240 Ridgewood Road,Suite 100,Wyomissing,PA,19610,,Joanna Weaver (Weaverj@ccwyo.com,FALSE,
961,Children's Clinic of Wyomissing,2240 Ridgewood Road,Suite 100,Wyomissing,PA,19610,,Joanna Weaver (Weaverj@ccwyo.com,FALSE,
961,Children's Clinic of Wyomissing,2240 Ridgewood Road,Suite 100,Wyomissing,PA,19610,,Joanna Weaver (Weaverj@ccwyo.com,FALSE,
961,Children's Clinic of Wyomissing,2240 Ridgewood Road,Suite 100,Wyomissing,PA,19610,,Joanna Weaver (Weaverj@ccwyo.com,FALSE,
961,Children's Clinic of Wyomissing,2240 Ridgewood Road,Suite 100,Wyomissing,PA,19610,,Joanna Weaver (Weaverj@ccwyo.com,FALSE,
1013,Clinical Pain Management Associates,2760 Century Blvd,,Wyomissing,PA,19610,,Angela Fontana (afontana@dejazzd.com),FALSE,
1014,Clinical Pain Management Associates,333 Oxford Valley Road,Suite 510,Fairless Hills,PA,19030,,,FALSE,
1018,Commonwealth Orthopaedic Associates,11 Fairlane Road,,Reading,PA,19606-9567,,Deanna Seyler,FALSE,
1018,Commonwealth Orthopaedic Associates,11 Fairlane Road,,Reading,PA,19606-9567,,Deanna Seyler,FALSE,
1018,Commonwealth Orthopaedic Associates,11 Fairlane Road,,Reading,PA,19606-9567,,Deanna Seyler,FALSE,
1018,Commonwealth Orthopaedic Associates,11 Fairlane Road,,Reading,PA,19606-9567,,Deanna Seyler,FALSE,
1061,Family Medicine - Tower Health Medical Group,1137 West Penn Avenue,,Womelsdorf,PA,19567-9721,(610)816-2020,Alice Fisher,FALSE,
1061,Family Medicine - Tower Health Medical Group,1137 West Penn Avenue,,Womelsdorf,PA,19567-9721,(610)816-2020,Alice Fisher,FALSE,
1061,Family Medicine - Tower Health Medical Group,1137 West Penn Avenue,,Womelsdorf,PA,19567-9721,(610)816-2020,Alice Fisher,FALSE,
1061,Family Medicine - Tower Health Medical Group,1137 West Penn Avenue,,Womelsdorf,PA,19567-9721,(610)816-2020,Alice Fisher,FALSE,
1081,"D. Gary Kolva, M.D., Neurology",301 S 7th Avenue,Suite 240,West Reading,PA,19611-1410,,,FALSE,
1082,"D. Gary Kolva, M.D., Neurology",301 S 7th Avenue,Suite 240,West Reading,PA,19611-1410,,,FALSE,
1085,Delaware County Memorial Hospital,501 North Lansdowne Avenue,,Drexel Hill,PA,19026,,,FALSE,
1088,"DGR Management, Inc",560 Van Reed Road,Suite 301,Wyomissing,PA,19610,,,FALSE,
1092,"DGR Management, Inc",2201 Ridgewood Drive,Suite 400,Wyomissing,PA,19610,,Kristina Rushing,FALSE,
1092,"DGR Management, Inc",2201 Ridgewood Drive,Suite 400,Wyomissing,PA,19610,,Kristina Rushing,FALSE,
1092,"DGR Management, Inc",2201 Ridgewood Drive,Suite 400,Wyomissing,PA,19610,,Kristina Rushing,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1108,Endocrinology and Diabetes Center - Tower Health Medical Group,1991 State Hill Road,,Wyomissing,PA,19610,(484)628-4270,Teresa Runkle,FALSE,
1125,"Digestive Disease Associates, Ltd",1011 Reed Avenue,Suite 300,Wyomissing,PA,19610,,Shannon Ellitott,FALSE,
1125,"Digestive Disease Associates, Ltd",1011 Reed Avenue,Suite 300,Wyomissing,PA,19610,,Shannon Ellitott,FALSE,
1125,"Digestive Disease Associates, Ltd",1011 Reed Avenue,Suite 300,Wyomissing,PA,19610,,Shannon Ellitott,FALSE,
1125,"Digestive Disease Associates, Ltd",1011 Reed Avenue,Suite 300,Wyomissing,PA,19610,,Shannon Ellitott,FALSE,
1125,"Digestive Disease Associates, Ltd",1011 Reed Avenue,Suite 300,Wyomissing,PA,19610,,Shannon Ellitott,FALSE,
1125,"Digestive Disease Associates, Ltd",1011 Reed Avenue,Suite 300,Wyomissing,PA,19610,,Shannon Ellitott,FALSE,
